[Sample ID]	[Taxon]	[Kingdom/SuperKingdom]	[Phylum]	[Class]	[Order]	[Family]	[Genus]	[Species]	[Relative Abundance]	
EUSMPL0020-1-1	1231591	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. Anuhmto23	0.8446	
EUSMPL0020-1-1	960992	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter	uncultured Gluconacetobacter sp.	0.0538	
EUSMPL0020-1-1	1173194	Bacteria	Firmicutes	Bacilli	N/A	N/A	N/A	uncultured Bacilli bacterium	0.0324	
EUSMPL0020-1-1	1313195	Bacteria	N/A	N/A	N/A	N/A	N/A	uncultured bacterium	0.0139	
EUSMPL0020-1-1	958908	Bacteria	Proteobacteria	Alphaproteobacteria	N/A	N/A	N/A	uncultured alpha proteobacterium	0.0075	
EUSMPL0020-1-1	993270	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	N/A	N/A	uncultured Rhizobiales bacterium	0.0052	
EUSMPL0020-1-1	960930	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	N/A	uncultured Acetobacteraceae bacterium	0.0038	
EUSMPL0020-1-1	1049165	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	0.0032	
EUSMPL0020-1-1	1232998	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	uncultured Lactobacillus sp.	0.0027	
EUSMPL0020-1-1	1205307	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	uncultured Bacillus sp.	0.0022	
EUSMPL0020-1-1	1231973	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. Mbohmt7	0.0022	
EUSMPL0020-1-1	1232726	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. Adhmto1	0.0014	
